content,label,sender,is_url,is_phone,pred_label,correct,confidence,raw_ai_score,domain_risk,phase,reason,error_type
"[BIDV] TK ****5561 +250,000VND luc 20:10. So du: 7,890,000VND. ND: Chuyen khoan noi bo.",0,brandname,0,0,0,True,0.0993,0.0993,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
H0~tro_NQ-116: B4n-da^du_D!EU*K!EN nh4n~T1EN tu BH#XH. Nhan t41: mo.xdrct.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! rT7y,1,personal_number,1,0,1,True,1.0,0.9877,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"CANH BAO LAN CUOI!!! Ông Hoàng Văn Bách (CCCD: 040091238475) còn thiếu Mcredit 22,341,000VND. Thanh toán trước 16H Ngày 15/05 nếu không muốn bị đưa vào danh sách đen của PC02 về tội chiếm đoạt tài sản. LH: 0977112233.",1,personal_number,0,1,1,True,0.9544,0.9544,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Chieu nay di lam ve ghe mua cho me it trai cay nhe con.,0,personal_number,0,0,0,True,0.0358,0.0358,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
Lich hen cat toc tai Salon Kim luc 15h chieu mai nhe.,0,personal_number,0,0,0,True,0.064,0.064,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
[VCB DIGIBANK] T4i kh04n cua b4n d4 b1 kh04 l0c. D4ng nh4p t4i https://vcbdigibank.vn-sh.top de k1ch h04t l4i ngay.,1,brandname,1,0,1,True,1.0,0.6548,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"Cảnh sát Giao thông, Bộ GTVT: Bạn có biên lai nộp phạt chưa đối soát. Liên hệ ngay 0901234455 để được hướng dẫn.",1,brandname,0,1,0,False,0.1975,0.1975,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,FN_no_url
Cap nuoc: Thong bao chi so nuoc thang 09 cua danh bo 1234567 la 25m3. So tien: 185.000d. Vui long thanh toan dung han. LH: 1900636363.,0,brandname,0,1,0,True,0.0793,0.0793,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
Tim_doi_tac_tam_su_khong_on_ao_HN – Telegram: t.me/hn_silent rTy2,1,personal_number,1,0,0,False,0.0895,0.0895,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,FN_no_url
H;C;M-T;e;l;e;g;r;a;m: G;@;i-v;u-o'n-h;o;a-S;a;i-G;o;n-p;h;u;c-v;u-2;4-7. L;H: https://t.me/sg_flower_garden kM9n,1,personal_number,1,0,1,True,1.0,0.8801,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Shopee: Shipper dang giao don hang #240512ASDFGH. Vui long giu lien lac de nhan hang nhe. Tran trong.,0,brandname,0,0,0,True,0.0299,0.0299,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"[CANH CAO LAN CUOI]: B4 D0 Th1 Hv0ng CMND 191084532 ph41 th4nh t04n 6,892,000VND ch0 Trung t4m Thu h01 N0 truvc 16H Ngay 24/11. H3t th01 h4n s3 C0ng Kh41 H1NH ANH l3n m4ng x4 h01. LH: 0377881122.",1,personal_number,0,1,0,False,0.25,0.9745,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"CANH BAO LAN CUOI!!! Trong 24H nua Ba Le Thi Tuoi CMND: 191827364 phai lien he gap SDT/ZALO: 0356789123 gap Tran Anh Dung de THOA THUAN-GIAM NO cho HD Saison. Neu KHONG HOP TAC thanh toan 8,345,500VND se thong bao nguoi than gia dinh va noi lam viec.",1,personal_number,0,1,0,False,0.25,0.9933,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
San bong Mini A1 xac nhan lich dat san 18h-19h toi nay. Vui long den dung gio.,0,personal_number,0,0,1,False,0.6762,0.6762,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,FP_ai_false_alarm
Anh ch1 n4p t13n v4o STK: 8881234567 NH: Techcombank. TK: CTY TNHH THUONG MAI DICH VU XYZ d3 nh4n l41 20% m01 ng4y.,1,personal_number,0,0,1,True,0.9867,0.9867,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Ninja Van: Don hang NVVN11223344 da giao thanh cong luc 10:45. Cam on ban da su dung dich vu.,0,brandname,0,0,0,True,0.0237,0.0237,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
[SACOMBANK] f4t h13n th13t b1 l4 d4ng nh4p. V40 sacombank-online.vip z3 kwh04 t41 kwh04n.,1,shortcode,1,0,1,True,1.0,0.8647,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
MB BANK: T41 kh04n d4 b1 kh04. Dang nh4p t41 mbbank.vn-0nl1n3.top d3 x4c thuc th0ng t1n,1,brandname,1,0,1,True,1.0,0.7044,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
GHTK Kien hang GHTK6104889508 da giao thanh cong luc 08:35 hom nay. Cam on Quy khach da su dung dich vu.,0,brandname,0,0,0,True,0.1275,0.1275,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
8D4Y khuy3n m41 n4p 100k nh4n 300k. 1 v0ng cu0c rut m4x. Link: t.ly/mR92x xX92s,1,personal_number,1,0,1,True,1.0,0.9969,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"[BIDV] TK ****5564 +8,000,000VND luc 09:30. So du: 18,200,000VND. ND: Luong T10.",0,shortcode,0,0,1,False,0.6,0.0462,0.0,Keyword Trigger,Cảnh báo: Nội dung chứa các từ khóa rủi ro cao (Tài chính/Giả danh) cần xác minh.,FP_other
"H;C;M - Z;a;l;o: D;i\""e\""m:h;e\""n:l;y\""t;u\""0;n;g:c;h;0:a;n;h. L;i\""n;k: zalo.me/g/sg_ideal. bN4m",1,personal_number,1,0,0,False,0.25,0.9263,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"CANH BAO LAN CUOI!!! Phòng An ninh Điều tra PC02 yêu cầu bà Lê Ngọc Hân CMND: 031077889 thanh toán 38,550,000VND trước 17g hôm nay. Nếu không phối hợp sẽ bị truy cứu hình sự. LH: 0903456789",1,personal_number,0,1,0,False,0.25,0.9851,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
[GHTK] Ma van don: GHTK8707663273. Giao khong thanh cong lan 1. Lien he giao vien: 0947761014.,0,brandname,0,1,0,True,0.2086,0.2086,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
BookingCare: Ma xac thuc tai khoan cua ban la 441029. Ma nay se het han sau 10 phut nua.,0,brandname,0,0,0,True,0.0837,0.0837,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
E.m x.t n.g.o.n l.a.m t.i.n.h d.e.m n.a.y H.C.M – Telegram: t.me/hcm_xt_night_v5 zN1u,1,personal_number,1,0,0,False,0.25,0.9643,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
[GHN] Shipper se den lay hang GHNR5566443322 luc 14:00. Vui long chuan bi kien hang. San sang tai ghn.vn,0,brandname,1,0,1,False,1.0,0.0786,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,FP_other
[Tong cuc Thue] Quy khach co thong bao moi tu co quan thue. Vui long dang nhap ung dung eTax Mobile de kiem tra thong tin chi tiet.,0,brandname,0,0,0,True,0.1546,0.1546,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
T0NG CUC THU3: Ong/B4 du d13u k13n nh4n h0 tr0 th3 thu3. L13n h3 0955666777 d3 nh4n t13n,1,personal_number,0,1,1,True,0.9745,0.9745,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
BV Cho Ray: Nhac hen tai kham nhi be Pham Hoang Long luc 09h15 ngay 29/10 tai Khoa Nhi. LH 02838554137.,0,brandname,0,1,0,True,0.0184,0.0184,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
VNU-HCM: Thông báo kế hoạch tổ chức kỳ thi Đánh giá năng lực đợt 1 năm 2025. Thí sinh bắt đầu đăng ký dự thi từ ngày 15/01/2025 tại thinangluc.vnuhcm.edu.vn.,0,brandname,1,0,1,False,1.0,0.5445,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,FP_other
G@!;m-0-i:t-a-i:D-N:T-3-L-3:n-h-a-n:v-e: https://t.me/dn_gai_moi_2024 rF6j,1,personal_number,1,0,1,True,1.0,0.9888,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Lazada: Don hang 341256789012 da duoc giao den ban. Vui long danh gia tai https://lzd.co/review,0,brandname,1,0,1,False,1.0,0.9457,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,FP_other
Theo^NQ-116: B4N_DA-DU*D!3U_K!3N NH@N^T1EN tu BH#TN. Nhan tai mo.mnbvc.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! hJ9l,1,personal_number,1,0,1,True,1.0,0.9913,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
GHTK-GHTK5566778899: Kien hang da giao thanh cong luc 14:30 ngay 14/10. Cam on ban!,0,brandname,0,0,0,True,0.011,0.011,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
Agribank: Ma xac thuc OTP cua Quy khach la 662190. Ma co hieu luc trong 5 phut. Vui long khong cung cap cho bat ky ai.,0,brandname,0,0,0,True,0.0471,0.0471,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
Lazada: Ma OTP xac thuc tai khoan Lazada cua ban la 928374. Vui long nhap ma de tiep tuc giao dich.,0,brandname,0,0,0,True,0.0482,0.0482,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
Lazada: Yeu cau hoan tien cho don hang 998877665544 da duoc chap nhan. Tien se duoc hoan lai vao vi Lazada.,0,brandname,0,0,0,True,0.2659,0.2659,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
VNeID: C4p nh4t ung zung v3 f13n b4n m01 d3 tr4nh b1 kh04 t41 kh04n. L1nk: vne1d-update.t0p,1,brandname,1,0,0,False,0.4479,0.4479,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,FN_no_url
[GHN] Van don GHNR24101500123: Dang phan loai tai kho TP.HCM. Du kien giao 16/10 (tu 8h-18h). Theo doi tai https://ghn.vn,0,brandname,1,0,0,True,0.0,0.0174,-1.0,Authority Whitelist,An toàn: Tên miền chính chủ đã được xác thực (Source code contains verified internal/whitelist links).,CORRECT
Anh_co_muon_thu_cam_giac_moi_khong_HN – Zalo: zalo.me/g/hn_new_feel cVb3,1,personal_number,1,0,0,False,0.25,0.862,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
ShopeePay: Giam ngay 50k cho hoa don thanh toan dien nuoc dau tien tren Shopee. Ap dung den 31/05/2026. Chi tiet tai shopeepay.vn.,0,shortcode,1,0,1,False,1.0,0.1597,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,FP_personal_financial
DAU_TU_CK_QUOC_TE_LAI_SUAT_CAO. STK_NAP_TIEN: 0491000123456 NH_VCB. CHU_TK: LE_THANH_BINH. B4O_LO_VON.,1,personal_number,0,0,1,True,0.8587,0.8587,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
[Instagram] 629103 la ma xac thuc Instagram cua Quy khach.,0,brandname,0,0,0,True,0.0766,0.0766,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"789B3t_N4p-100k_nh4n-300k. Rut t13n-MAXX 8.888k. No-Hu, BCR, B4n-C4. DK: t.ly/kL8j2 qW3eR",1,personal_number,1,0,1,True,1.0,0.9982,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"Kim Long Casino ja1 tr1 d1nh c40. B4cc4r4t, ch01 g4, x0 s0. CSKH 24/24. d92ms.com",1,personal_number,1,0,1,True,1.0,0.9928,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"[VCB] TK ****8291 +2,500,000VND luc 23:15. So du: 15,340,000VND. ND: Chuyen khoan thanh toan hang hoa.",0,brandname,0,0,0,True,0.0993,0.0993,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"TB KHAN: Ong Luu Duc Hoa CMND: 036092001234 no Mirae Asset 15,947,000VND. Canh bao lan cuoi truoc 17g hom nay. Neu khong hop tac se ap dung bien phap cuong che thu hoi tai san tai nha rieng. LH: 0911223355.",1,personal_number,0,1,1,True,0.9943,0.9943,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
B@n-da_du_d!eu_k!en nh@n_t13n* thu nh@p thu d0ng tu s@n XYZ. Chuy3n k_h_o_a_n vao STK 1100223344 NH BIDV. CT: NHOM DAU TU 4.0,1,personal_number,0,0,1,True,0.9612,0.9612,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
"[CANH CAO LAN CUOI]: Ong Tr4n Qu0c Anh CMND: 231094857 n0 FE 3,745,000VND. Trυoc 17g h0m n4y kh0ng tr4 s3 b1 l13t v40 d4nh s4ch n0 x4υ CIC nh0m 5 v4 k3υ g01 h0 tr0 tυ c0ng 4n d14 phυ0ng. LH: 0347582910",1,personal_number,0,1,0,False,0.25,0.9952,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
[CANH CAO LAN CUOI]: Ph0ng AN NINH DIEU TRA th0ng b40: 0/B dang b1 d13u tr4 t01 l4m dung t1n nh13m. L13n h3 84988223344 tru0c 17g h0m n4y d3 du0c hu0ng k04n kh0ng h1nh su.,1,personal_number,0,0,1,True,0.9877,0.9877,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
789B3t-N4p 100k nh4n 288k. 1 v0ng cu0c rut MAXX 15.000k. N0 Hu-B4n C4. BCR... DK: t.ly/zY7k9 mRsW,1,personal_number,1,0,1,True,1.0,0.9968,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Quy BHTN: B4N-da-du^D!EU*K!EN nh4n T1EN h0~tro th3o NQ-116. Bam vao www.tgbnh.icu. QUA-HAN_SE_KH0NG-DUOC-CHAP-NHAN! cD6f,1,personal_number,1,0,1,True,1.0,0.9896,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"[CANH CAO LAN CUOI]: Ong L4m Nh4t M1nh CMND: 034091007823 n0 FE Cr3d1t 25,650,000VND. Th4nh tu4n tru0c 16H Ng4y 30/10 d3 tr4nh b1 truy t0 h1nh su t01 l4m dung t1n nh13m. LH Z4L0: 0977881122.",1,personal_number,0,1,1,True,0.952,0.952,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Tro~cap_NQ-116: B4N_da-du-D!EU*K!EN nh4n_T1EN h0~tro tu BHXH. Nhan t41: mo.asdfg.com. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! pL3k,1,personal_number,1,0,1,True,1.0,0.9971,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Lazada tuyển nhân viên xử lý đơn hàng tại nhà. Thu nhập 800.000đ/ngày. Yêu cầu 23–65 tuổi. Đăng ký tại: zalo.me/84878901234,1,personal_number,1,0,0,False,0.25,0.9447,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"Ch4o b4n, m1nh l4 Phuong. C0 v13c th4 t1m T1kT0k k13m 100k/ng4y n4y. Ch1 c4n 10 phut th01. L4m kh0ng b4n?",1,personal_number,0,0,1,True,0.9932,0.9932,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Anh_ch1_chuy3n_k-ho4n v4o STK: 1010202030 NH_TCB TK: CTY DAU TU_DAI_NAM de c0py-tr4d3 f0r3x nhe.,1,personal_number,0,0,1,True,0.9877,0.9877,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
"CANH BAO LAN CUOI!!! H0m3 Cr3d1t y3u c4u 0ng K13u M1nh Tu4n CMND 044091827364 t4t t04n 5,231,450VND tru0c 16H Ng4y 27/05. Chung t01 s3 gu1 th0ng b40 v1 ph4m v3 n01 c0ng t4c. LH: 0963748251.",1,personal_number,0,1,1,True,0.9746,0.9746,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
[TONG CUC THUE] Zu z!eu k!en nh4n t13n HOAN THUE. Bam v40 hoanthuetncn-gov.v1p z3 nh4n.,1,shortcode,1,0,1,True,0.8172,0.8172,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Cục Viễn thông: Th0ng-b4o-cu01-cung v3 chuan h04 th0ng t1n thue b4o. L13n h3 0777555666,1,brandname,0,1,1,True,0.6765,0.6765,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
VNeID: T41 kh04n d1nh d4nh d4 h3t h4n x4c thuc. Vuj l0ng truy c4p: vneid-xacthuc.top,1,brandname,1,0,1,True,1.0,0.3729,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"[TB] Chuc mung Quy khach da dang ky thanh cong goi V90B. Uu dai: 30GB (1GB/ngay), mien phi goi noi mang duoi 20 phut, 30 phut ngoai mang. Phi: 90.000d/30 ngay. Chi tiet LH 198 (0d).",0,brandname,0,1,0,True,0.0099,0.0099,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"Tiki cần tuyển nhân viên đặt hàng để nâng thứ hạng cửa hàng. Thu nhập 800.000đ/ngày, làm việc trên điện thoại. Yêu cầu 22-65 tuổi. Liên hệ Zalo trực tiếp: 84945678901",1,personal_number,0,1,0,False,0.25,0.9594,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
HCM-Zalo: C0_em_n90n_b0dy_chuan_cAn_t1m_b@n_tra!. Zalo: zalo.me/g/hcm_body_chuan_2k fS2h,1,personal_number,1,0,0,False,0.25,0.9661,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"Aw1n: B4cc4r4t truc t!ep, th3 th40, x0 s0. Rut t1en 2 phut, CSKH 24/7. DK: yuiop.com",1,personal_number,1,0,1,True,1.0,0.9898,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Tr0 c4p NQ-116: B4N_da-du_D!EU K!EN nh4n T1EN h0~tro. Nhan t41: mo.edcrfv.com. QUA-HAN SE KH0NG_DUOC CHAP NHAN! nH7j,1,personal_number,1,0,1,True,1.0,0.9921,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"EMIME Company tuyển nhân viên bán thời gian. Thu nhập hấp dẫn 800.000đ/ngày. Không yêu cầu kinh nghiệm, làm tại nhà. Zalo: zalo.me/84867890123 SĐT: 84867890123",1,personal_number,1,1,0,False,0.25,0.9474,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
