content,label,has_url,has_phone_number,sender_type
"VPBank: Chuc mung ban da mo thanh cong the tin dung. Quan ly the tai https://neo.vpbank.com.vn",0,1,0,brandname
"MoMo: Ma xac nhan (OTP) de rut tien ve ngan hang la 665544.",0,0,0,brandname
"ShopeePay: Ban vua thuc hien giao dich thanh toan 150,000VND cho hoa don dien.",0,0,0,brandname
"HDBank: Ma OTP xac nhan giao dich tren HDBank App la 321654. Khong chia se ma nay.",0,0,0,brandname
"TikTok: 778899 la ma xac nhan de dang nhap vao tai khoan TikTok cua ban.",0,0,0,shortcode
"VIB: Tai khoan 601xxx vua nhan +300,000VND. ND: chuyen tien cafe.",0,0,0,brandname
"GHTK: Don hang 102030405 dang duoc giao. Click vao link de xem vi tri shipper: https://ghtk.vn/s/123",0,1,0,brandname
"Eximbank: Ma OTP de xac nhan doi mat khau Internet Banking la 000111.",0,0,0,brandname
"LinkedIn: Ma xac nhan bao mat tai khoan cua ban la 223344.",0,0,0,brandname
"Maritime Bank (MSB): Giao dich thanh cong -450,000VND. So du cuoi: 1,050,000VND.",0,0,0,brandname
"Netflix: 852963 la ma OTP de xac nhan dang ky thanh vien moi.",0,0,0,brandname
"OCB: Ma OTP xac nhan thanh toan ngan hang so OCB OMNI la 159357.",0,0,0,brandname
"Steam: Ma xac nhan giao dich mua game tren Steam cua ban la 951753.",0,0,0,shortcode
"Shinhan Bank: Tai khoan cua ban da duoc xac nhan kich hoat thanh cong.",0,0,0,brandname
"Standard Chartered: Ma OTP cua ban la 445566. Vui long khong cung cap cho bat ky ai.",0,0,0,brandname
"Airbnb: Ma xac nhan dat phong cua ban la 123456. Chuc ban co chuyen di vui ve.",0,0,0,brandname
"VinaPhone: Ma OTP de xac nhan doi sim 4G cua ban la 774411.",0,0,0,brandname
"MobiFone: Quy khach da xac nhan dang ky goi cuoc data. Truy cap https://mobifone.vn de quan ly.",0,1,0,brandname
"VietjetAir: Chuyen bay VJ123 da duoc xac nhan. Xem lich trinh tai https://vietjetair.com",0,1,0,brandname

Dưới đây là 40 tin nhắn SMS nhãn 0 (tin sạch), chứa các từ khóa nhạy cảm, được cấu trúc theo đúng yêu cầu Guidelines của bạn.


content,label,has_url,has_phone_number,sender_type
"VCB: So du TK 0123456789 thay doi +5.000.000 VND. Noi dung: Luong thang 10. Giao dich luc 08:30.",0,0,0,brandname
"987654 la ma OTP de xac nhan giao dich thanh toan qua ngan hang MBBank cua Quy khach. Ma co hieu luc trong 2 phut.",0,0,0,brandname
"G-112233 la ma xac nhan Google cua ban. Vui long khong chia se ma nay voi bat ky ai.",0,0,0,shortcode
"Shopee: Don hang 554321 dang duoc giao den ban. Theo doi hanh trinh tai link: https://shopee.vn/track/554321",0,1,0,brandname
"Apple ID Code: 889900. Dung de xac nhan dang nhap tren thiet bi moi cua ban.",0,0,0,brandname
"TCB: Quy khach vua thuc hien giao dich rut tien tai ATM. So du hien tai: 15.200.000 VND.",0,0,0,brandname
"Lazada: Kien hang cua ban da den tram phan loai. Truy cap https://lazada.vn de kiem tra chi tiet.",0,1,0,brandname
"Ma OTP dang nhap vao ung dung ngan hang ACB cua ban la 445566. Vui long xac nhan de tiep tuc.",0,0,0,brandname
"ViettelPost: Ma van don VTP998877 dang tren duong giao. Link tra cuu: https://viettelpost.com.vn",0,1,0,brandname
"Facebook: 334455 la ma xac nhan khoi phuc mat khau cua ban.",0,0,0,shortcode
"BIDV: Quy khach da thanh toan thanh cong hoa don dien thang 10. So giao dich: 778899.",0,0,0,brandname
"VNPAY: Ban da thanh toan 50.000 VND cho dich vu nap the dien thoai. Ma xac nhan: 221144.",0,0,0,brandname
"Tiki: Don hang cua ban da duoc xac nhan. Du kien giao vao ngay mai. Xem tai: https://tiki.vn/my-orders",0,1,0,brandname
"Zalo: 654321 la ma OTP de kich hoat tai khoan cua ban. Khong cung cap ma nay cho nguoi khac.",0,0,0,brandname
"Grab: Tai xe dang den diem hen. Vui long kiem tra lo trinh tren ung dung Grab.",0,0,0,brandname
"VIB: Thong bao bien dong so du TK ...456: -200.000 VND. Giao dich thanh toan sieu thi.",0,0,0,brandname
"Ma xac nhan OTP cho giao dich chuyen khoan tai ngan hang Sacombank la 001122.",0,0,0,brandname
"EVNHANOI: Thong bao da nhan thanh toan tien dien ky 10/2023. Cam on Quy khach.",0,0,0,brandname
"Ma OTP xac nhan dang ky dich vu Internet Banking cua ban la 776655.",0,0,0,shortcode
"GHN: Don hang tu Shop ABC dang duoc giao. Bam vao link de xem vi tri: https://ghn.vn/status",0,1,0,brandname
"VietjetAir: Chuyen bay VJ123 cua ban da duoc xac nhan. Vui long check-in tai https://vietjetair.com",0,1,0,brandname
"Microsoft: Use 556677 as Microsoft account security code for verification.",0,0,0,brandname
"Agribank: So du TK ...789 thay doi +10.000.000 VND. Giao dich tu ngan hang khac chuyen den.",0,0,0,brandname
"ShopeePay: Ma OTP de xac nhan lien ket ngan hang la 123000. Ma co hieu luc trong 5 phut.",0,0,0,brandname
"VinaPhone: Quy khach da nap thanh cong 100.000 VND vao tai khoan. Cam on Quy khach.",0,0,0,brandname
"Ma xac nhan giao dich thanh toan truc tuyen tai ngan hang VPBank cua ban la 990011.",0,0,0,brandname
"BambooAirways: Ma dat cho ABC123 da thanh toan. Chi tiet lich bay tai https://bambooairways.com",0,1,0,brandname
"VNPOST: Kien hang EB123456VN dang cho phat. Quy khach vui long chu y dien thoai.",0,0,0,brandname
"Netflix: Ma xac nhan de cap nhat phuong thuc thanh toan cua ban la 443322.",0,0,0,brandname
"HDBank: Quy khach vua thuc hien giao dich thanh toan qua QR Pay. So tien: 350.000 VND.",0,0,0,brandname
"Ma OTP de thay doi mat khau ngan hang TPBank cua ban la 887766.",0,0,0,brandname
"TikTok: 223344 la ma xac nhan dang nhap TikTok cua ban.",0,0,0,shortcode
"FPTShop: Don hang laptop cua ban da xac nhan thanh cong. Link hoa don: https://fptshop.com.vn/hd",0,1,0,brandname
"Ma xac nhan dang ky tai khoan VssID cua ban la 554433. Vui long khong chia se.",0,0,0,brandname
"SHB: So du tai khoan ...112 thay doi +2.000.000 VND. Noi dung: Tra no vay ngan hang.",0,0,0,brandname
"VietnamAirlines: Xac nhan thay doi lich bay chuyen VN213. Xem chi tiet tai https://vietnamairlines.com",0,1,0,brandname
"Ma OTP de xac nhan rut tien tu vi MoMo ve ngan hang la 667788.",0,0,0,brandname
"J&T Express: Don hang 88991122 dang duoc van chuyen. Tra cuu tai https://jtexpress.vn",0,1,0,brandname
"Ma xac nhan danh tinh Apple cua ban la 121212. Vui long nhap vao o xac nhan.",0,0,0,shortcode
"Eximbank: Thong bao giao dich thanh cong so tien 1.500.000 VND tai POS.",0,0,0,brandname

Dưới đây là danh sách 40 tin nhắn SMS nhãn 0 (Tin sạch) chứa các từ khóa nhạy cảm, tuân thủ nghiêm ngặt các yêu cầu về định dạng và Guidelines của bạn.


content,label,has_url,has_phone_number,sender_type
"VCB: TK 1023456789 giao dich +500,000 VND. So du: 12,450,000 VND. Noi dung: chuyen tien an sang.",0,0,0,brandname
"Ma OTP xac nhan dang nhap Google cua ban la 123456. Vui long khong chia se ma nay cho bat ky ai.",0,0,0,brandname
"Shopee: Don hang 220123ABC da duoc giao thanh cong. Kiem tra hanh trinh tai https://shopee.vn/track",0,1,0,brandname
"ACB: Quy khach da thuc hien giao dich thanh toan hoa don dien tai ngan hang. So tien: 450,000 VND.",0,0,0,brandname
"Apple ID: Ma xac nhan cua ban la 998877. Nhap ma nay de hoan tat thiet lap.",0,0,0,brandname
"Lazada: Kien hang dang duoc giao den ban. Click link de xem vi tri tai xe: https://lazada.vn/status",0,1,0,brandname
"Ma OTP de xac nhan giao dich chuyen khoan tai ngan hàng MB cua ban la 445566. Hieu luc trong 3 phut.",0,0,0,brandname
"VietinBank: TK 103987654 giao dich -1,200,000 VND vao luc 14:30. So du hien tai: 5,600,000 VND.",0,0,0,brandname
"Facebook: 882211 la ma xac nhan doi mat khau cua ban.",0,0,0,shortcode
"Tiki: Cam on ban da mua hang. Xac nhan don hang 99887766 tai https://tiki.vn/orders",0,1,0,brandname
"TPBank: Giao dich qua the Visa tai ngan hang duoc phe duyet. So tien: 200,000 VND.",0,0,0,brandname
"Ma OTP xac nhan thanh toan hoa don nuoc cua ban tai ngan hàng Techcombank la 009911.",0,0,0,brandname
"Giao hang nhanh: Don hang tu Shop ABC da den kho. Tra cuu tai link: https://ghn.vn/tracuu",0,1,0,brandname
"Microsoft: Use 554433 as security code for your account verification.",0,0,0,brandname
"Agribank: TK 3100205123 giao dich +10,000,000 VND. So du: 25,000,000 VND.",0,0,0,brandname
"ZaloPay: Ma OTP xac nhan lien ket ngan hàng cua ban la 776655.",0,0,0,brandname
"Grab: Ma xac nhan dang nhap cua ban la 112233. Vui long khong cung cap cho nguoi la.",0,0,0,brandname
"EVNHCMC: Thong bao xac nhan da thanh toan tien dien thang 10. Tra cuu tai https://cskh.evnhcmc.vn",0,1,0,brandname
"VNPAY: Ban da thuc hien giao dich thanh toan tai nha hang. So tien: 350,000 VND.",0,0,0,brandname
"Ma OTP xac nhan dang ky dich vu Mobile Banking tai ngan hàng BIDV la 887766.",0,0,0,brandname
"Giao hang tiet kiem: Don hang sap den noi. Theo doi lich trinh tai https://ghtk.vn/status",0,1,0,brandname
"Sacombank: Giao dich rut tien tai ATM hoan tat. So tien: 2,000,000 VND. So du: 8,500,000 VND.",0,0,0,brandname
"Steam: Your account verification code is 44556. Enter it to confirm login.",0,0,0,shortcode
"Ngan hang VPBank thong bao: Quy khach da xac nhan thay doi han muc the tin dung thanh cong.",0,0,0,brandname
"Ma OTP de xac nhan thanh toan Netflix qua ngan hàng la 223344.",0,0,0,brandname
"Viettel: Ban da xac nhan dang ky goi cuoc 4G thanh cong. Chi tiet tai https://viettel.vn",0,1,0,brandname
"MoMo: Giao dich chuyen tien den Nguyen Van A thanh cong. So tien: 100,000 VND.",0,0,0,brandname
"Ma xac nhan dang ky tai khoan VneID cua ban la 119988. OTP co hieu luc 5 phut.",0,0,0,brandname
"HSBC: Giao dich thanh toan truc tuyen tai Shopee duoc xac nhan. So tien: 1,500,000 VND.",0,0,0,brandname
"VinID: Ma OTP xac nhan doi diem qua tang cua ban la 665544.",0,0,0,brandname
"Ngan hang SCB: TK 12345 giao dich -500,000 VND. So du con lai: 2,100,000 VND.",0,0,0,brandname
"Ma xac nhan OTP de kich hoat lai mat khau tai ngan hàng MSB la 334455.",0,0,0,brandname
"FPT Shop: Don hang cua ban da san sang. Click link de xem chi tiet: https://fptshop.com.vn",0,1,0,brandname
"HDBank: Giao dich nhan tien tu 098xxx thanh cong. So tien: 3,000,000 VND.",0,0,0,brandname
"Netflix: Ma xac nhan dang nhap cua ban la 009988. Vui long nhap tren TV.",0,0,0,brandname
"Ngan hang Eximbank: Thong bao giao dich thanh toan phi duy tri tai khoan -11,000 VND.",0,0,0,brandname
"Ma OTP xac nhan thanh toan ve may bay qua ngan hàng la 556677.",0,0,0,brandname
"VIB: Ban da xac nhan dang ky thanh cong dich vu SMS Banking.",0,0,0,brandname
"The Gioi Di Dong: Xac nhan bao hanh san pham. Tra cuu tai https://thegioididong.com",0,1,0,brandname
"TikTok: 221133 la ma xac nhan dang ky tai khoan cua ban.",0,0,0,shortcode

Dưới đây là 40 tin nhắn (SMS) nhãn 0 với phong cách chat cá nhân, sử dụng teencode nhẹ và kết hợp không dấu/có dấu theo đúng định dạng bạn yêu cầu:


content,0,0,0,personal_number
Toi nay an j m oi?,0,0,0,personal_number
May h m den dc?,0,0,0,personal_number
Mua ho t goi xoi nhe,0,0,0,personal_number
Oke rùi bít rùi khổ quá,0,0,0,personal_number
Mai di cafe ko b?,0,0,0,personal_number
Dang lam j day?,0,0,0,personal_number
Chieu qua nha t lay do nhe,0,0,0,personal_number
Toi nay t ban rui ko di dc dau,0,0,0,personal_number
Co j thi alo t,0,0,0,personal_number
Thui dung di nua troi sap mua r,0,0,0,personal_number
Mai may gio m qua dc?,0,0,0,personal_number
Gui t link do vs,0,0,0,personal_number
Oke b de t check lai,0,0,0,personal_number
Bit rui noi mai,0,0,0,personal_number
Sap den chua m?,0,0,0,personal_number
Ty nua t qua nhe,0,0,0,personal_number
May h m ve?,0,0,0,personal_number
Ko dc dau de hom khac di,0,0,0,personal_number
T dang tren dg den rùi,0,0,0,personal_number
Co j moi ko?,0,0,0,personal_number
An com chua m?,0,0,0,personal_number
Thoi t ko di dau met lam,0,0,0,personal_number
Nho mua nuoc nhe,0,0,0,personal_number
Oke ty gap nha,0,0,0,personal_number
Gui t sdt cua no vs,0,0,0,personal_number
M dang o dau day?,0,0,0,personal_number
Co j bao t sau nhe,0,0,0,personal_number
Mai t di som nen ngu trc day,0,0,0,personal_number
Ko bit bao h moi xong nua,0,0,0,personal_number
De t xem co j t nhan lai,0,0,0,personal_number
Toi qua nha t choi ko m?,0,0,0,personal_number
Bit rui nha kho lam co,0,0,0,personal_number
Di dau ma voi the b?,0,0,0,personal_number
J ma cang the,0,0,0,personal_number
Oke chieu t qua,0,0,0,personal_number
Sang mai nho goi t day,0,0,0,personal_number
Ko thay m tra loi j ca,0,0,0,personal_number
Thui di ngu thoi muon r,0,0,0,personal_number
De t hoi m xem sao,0,0,0,personal_number
Den noi thi bao t,0,0,0,personal_number

Dưới đây là 40 tin nhắn SMS giả lập của người dùng di động tại Việt Nam, đảm bảo tính tự nhiên, gần gũi và đúng định dạng CSV bạn yêu cầu.


content,0,0,0,personal_number
"Tối nay rảnh không, ra Highland ngồi cafe chút nhé.",0,0,0,personal_number
"Lâu rồi không gặp, cuối tuần này làm chầu nhậu đi ông.",0,0,0,personal_number
"Ê tối nay đi ăn ốc không? Tui bao nè.",0,0,0,personal_number
"Cà phê sáng không anh em? Quán cũ nhé.",0,0,0,personal_number
"Bao giờ ông mới rảnh để đi trà đá đây?",0,0,0,personal_number
"Nghỉ trưa xong đi làm cốc trà sữa nha bà.",0,0,0,personal_number
"Chiều nay 5h đi đá bóng nha mọi người.",0,0,0,personal_number
"Chúc mừng sinh nhật nhé! Tối nay có tiệc tùng gì không?",0,0,0,personal_number
"Cuối tuần này đi xem phim không? Phim mới ra hay lắm.",0,0,0,personal_number
"Rảnh thì qua nhà tui chơi, có món này ngon lắm nè.",0,0,0,personal_number
"Nhắc cả team lịch họp sáng mai lúc 9h tại phòng 302 nhé.",0,0,0,personal_number
"Anh ơi, gửi giúp em file báo cáo tuần này qua mail với ạ.",0,0,0,personal_number
"Mọi người nhớ check mail công việc nhé, sếp mới gửi thông báo đó.",0,0,0,personal_number
"Chiều nay họp xong mình đi liên hoan nhẹ cái nha cả nhà.",0,0,0,personal_number
"Ok em, anh nhận được file rồi nhé. Cảm ơn em.",0,0,0,personal_number
"Dự án mới có chút thay đổi, sáng mai họp gấp lúc 8h nha.",0,0,0,personal_number
"Nhắc nhẹ deadline chiều nay 5h nha anh em.",0,0,0,personal_number
"Chị ơi, chiều nay cho em xin nghỉ sớm 1 tiếng đi có việc gia đình ạ.",0,0,0,personal_number
"Mọi người chuẩn bị slide xong chưa? 2h chiều nay thuyết trình rồi.",0,0,0,personal_number
"Gửi tui số điện thoại của anh Nam bên đối tác với nha.",0,0,0,personal_number
"Mẹ ơi, tối nay con về muộn, mẹ và ba cứ ăn cơm trước nhé.",0,0,0,personal_number
"Cuối tuần này cả nhà mình đi ăn ngoài nha ba mẹ.",0,0,0,personal_number
"Vợ ơi, chiều đi làm về mua giúp anh ít thuốc cảm nhé.",0,0,0,personal_number
"Con học xong rồi, đang trên đường về đây ạ.",0,0,0,personal_number
"Em ơi, nhớ đón con lúc 4h chiều nhé, anh bận họp rồi.",0,0,0,personal_number
"Mẹ ơi con chuyển tiền tiêu vặt tháng này rồi, mẹ check nhé.",0,0,0,personal_number
"Ba mẹ ở quê có khỏe không? Cuối tuần con về thăm ạ.",0,0,0,personal_number
"Chị ơi, mai qua nhà em ăn tân gia nhé.",0,0,0,personal_number
"Nhớ uống thuốc đúng giờ nha con, giữ gìn sức khỏe nhé.",0,0,0,personal_number
"Anh về đến nhà chưa? Cả nhà đang chờ cơm nè.",0,0,0,personal_number
"Mai thi rồi, tối nay đừng thức khuya quá nhé cả nhà.",0,0,0,personal_number
"Nhóm mình chiều nay 2h tập trung ở thư viện làm bài tập nha.",0,0,0,personal_number
"Bạn ơi, cho mình mượn vở ghi môn Toán buổi trước với.",0,0,0,personal_number
"Lịch thi môn Tiếng Anh dời sang thứ 2 tuần sau rồi nhé.",0,0,0,personal_number
"Nhớ mang bút chì với tẩy đi thi trắc nghiệm nha ông.",0,0,0,personal_number
"Đăng ký học phần xong chưa? Web lại bị lag rồi nè.",0,0,0,personal_number
"Ok nha, mai gặp ở cổng trường rồi cùng vào phòng thi.",0,0,0,personal_number
"Có kết quả điểm thi rồi đó, bà check xem được mấy điểm?",0,0,0,personal_number
"Tối nay ôn thi nhóm ở nhà tui nhé, có bánh kẹo ăn vặt luôn.",0,0,0,personal_number
"Chúc cả nhóm mình mai thi tốt, đạt điểm cao hết nha!",0,0,0,personal_number

